"Enable search suggestions","Activer les suggestions de recherche"
"Suggestions size limit","Taille limite des suggestions"
"Limit of the number of suggestions displayed. Fill ""0"" to not limit suggestions count.","Limite du nombre de suggestions affichées. Remplir ""0"" pour ne pas limiter le nombre de suggestions."
