"Enable search suggestions","Enable search suggestions"
"Suggestions size limit","Suggestions size limit"
"Limit of the number of suggestions displayed. Fill ""0"" to not limit suggestions count.","Limit of the number of suggestions displayed. Fill ""0"" to not limit suggestions."
